,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,tl,sv,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo,pl,ro,lesson,lexid
28,masculine,masculino,masculin,強壯,männlich,男性 (Dansei),maschile,mannelijk,мужской (muzhskoj),masculino,남성의,αρρενωπός,المذكر,גברי,เป็นชาย,masculinus,ஆண்மையுள்ள,पुलिंग,panlalaki,maskulin,maskulin,erkek,miehekäs,مردانه,maskulin,maskulin,mužský,férfias,мужчынскі,чоловічий (cholovіchyj),ወንድ ሰው (wa-ne-de sa-we),uume,мъжки,muški rod,vira,Męski,masculin,1050,280
29,people,gente,les gens,眾人,die Menschen,人 (Nin),la gente,mensen,люди (ljudi),pessoas,사람들,άνθρωποι,الناس,אנשים,คน,populus,மக்கள்,जनता,mga tao,människor,mennesker,insanlar,ihmiset,مردم,folk,orang,lidé,emberek,людзі,люди (ljudy),ሕዝብ (hhe-ze-be),watu,хора,ljudi,homoj,Ludzie,oameni,1050,220
30,sorry,lamentar,désolé,遺憾的,bedauern,すみません (Sumimasen),spiacente,sorry,,desculpas,미안한,συγγνώμη,آسف,להצטער,เสียใจ,poniteo,மன்னிக்கவும்,क्षमा,paumanhin,förlåt,unnskyld,özür,pahoillaan,تاسف,undskyld,maaf,litovat,bocsánat,прабач(це),,መፀፀት (ma-tza-tza-te),pole,съжалявам,oprostite,bedaŭri,Przykro mi,scuze,1050,350
31,the truth,la verdad,la vérité,真理,die Wahrheit,真実 (Shinjitsu),la verità,de waarheid,правда (pravda),a verdade,진실,η αλήθεια,الحقيقة,אמת,ความจริง,veritas,உண்மை,सत्य,ang katotohanan,sanningen,sannheten,gerçek,totuus,حقیقت,sandheden,kebenaran,pravda,az igazság,праўда,правда (pravda),እውነት (ʾe-we-na-te),ukweli,истина,istina,vero,"Prawda, Racja",adevărul,1050,500
32,to adore,adorar,adorer,敬慕,verehren / anhimmeln / anbeten,礼拝する (ReihaiSuru),adorare,aanbidden,обожать (obozhat'),adorar,총애하다,στο adore,للعَشْق,להעריץ,,venerari,ஆராதித்தல்,आराधना करना,sambahin,att dyrka,å beundre,hayran olmak,ihailla,ستایش کردن,at forgude,mengagumi,zbožňovat,imádni,абажаць,обожнювати (obozhnjuvaty),በጣም መውደድ (ba-thaa-me ma-we-da-de),Kupenda sana,обожавам,obožavati,adori,Wielbić,a adora,1050,450
33,to be right,estar en lo cierto,avoir raison,正確的,Recht haben,正しい (TadashiI),avere ragione,gelijk hebben,быть правым (byt' pravym),estar certo,옳다,είμαι σωστός,لِكي يَكُونَ صحيحَ,להיות צודק,ถูกต้อง,rectus esse,சரியாக,सही होना,magpakatama,att ha rätt,å ha rett,haklı olmak,olla oikeassa,درست گفتن,at have ret,menjadi benar,mít pravdu,igaza van (valakinek),мець рацыю,бути правим (buty pravym),ትክክለኛ መሆን (te-ke-ke-la-nyaa ma-ho-ne),Kuwa sahihi,прав съм,biti u pravu,pravi,Mieć rację,a avea dreptate,1050,310
34,to be wrong,equivocarse,avoir tort,錯誤,Unrecht haben,間違う (Machigau),avere torto,ongelijk hebben,быть неправым (byt' nepravym),estar errado,그르다,είμαι λανθασμένος,لِكي يَكُونَ خاطئَ,לטעות,ผิด,falsus esse,தவறாக,गलत होना,magpakamali,att ha fel,å ta feil,haksız olmak,olla väärässä,اشتباه گفتن,at have uret,menjadi salah,nemít pravdu,tévedni,не мець рацыі,бути неправим (buty nepravym),ስህተተኛ መሆን (se-he-ta-ta-nyaa ma-ho-ne),Kukosea,не съм прав,pogriješiti,malpravi,Mylić się,a greși,1050,320
35,to hate,odiar,détester,憎恨,hassen,憎しむ (ZouShimu),odiare,haten,ненавидеть (nenavidet'),odiar,싫어하다,μισώ,للكَراهية,לשנוא,เกลียด,odire,வெறுத்தல்,घृणा करना,magalit,att hata,å hate,nefret etmek,vihata,نفرت داشتن,at hade,membenci,nenávidět,gyűlölni,ненавідзець,ненавидіти (nenavydіty),መጥላት (ma-the-laa-te),kuchukia,мразя,mrziti,malami,Nienawidzić,a urî,1050,460
36,to hope,esperar,espérer,希望,hoffen,望む (Nozomu),sperare,hopen,надеяться (nadejat'sja),esperar,희망하다,ελπίζω,للتَمنّي,לקוות,หวัง,sperare,நம்பிக்கை வைத்தல்,आशा करना,umasa,att hoppas,å håpe,ummak,toivoa,امیدوار بودن,at håbe,mengharapkan,doufat,remélni,спадзявацца,сподіватися (spodіvatysja),መመኘት (ma-ma-nya-te),kutumaini,надявам се,nadati se,esperi,Mieć nadzieję,a spera,1050,340
37,to kiss,besar,embrasser,接吻,küssen,キスする (KisuSuru),baciare,kussen,целоваться (tselovat'sja),beijar,뽀뽀하다,φιλώ,لتقبيل,לנשק,จูบ,ausculor,முத்தமிடுதல்,चुम्बन,maghalikan,att kyssa,å kysse,öpmek,suudella,بوسیدن,at kysse,mencium,líbat,csókolózni,цалавацца,цілувати (tsіluvaty),መሳም (ma-saa-me),kubusu,целувам,poljubiti,kisi,Całować,a săruta,1050,260
38,to kiss each other,besarse,s'embrasser,彼此親嘴,einander küssen,互いにキスする (TagainiKisuSuru),baciarsi,elkaar kussen,целоваться (tselovat'sja),trocar beijos,뽀뽀하다,φιλιόμαστε,لتقبيل بعضهم البعض,להתנשק,จูบกัน,,ஒருவரையொருவர் முத்தமிடுதல்,चुम्बन करना,maghalikan,att kyssa varandra,å kysse hverandre,öpüşmek,suudella,همدیگر را بوسیدن,at kysse hinanden,berciuman,políbit se,megcsókolni egymást,цалавацца,цілуватися (tsіluvatysja),መሳሳም (ma-saa-saa-me),kubusiana,целуваме се,ljubiti jedan drugoga,kisi unu la alian,Całować się,a se săruta,1050,250
39,to lie,mentir,faire un mensonge,躺臥,lügen / anlügen,横たわる (YokoTawaru),mentire,liegen,лгать (lgat'),mentir,거짓말을 하다,λέω ψέμματα,للكَذِب,לשקר,โกหก,mentiri,பொய் சொல்லுதல்,झूठ बोलना,magsinungaling,att ljuga,å lyve,yalan söylemek,valehdella,دروغ گفتن,at lyve,berbohong,lhát,hazudni,ілгаць,брехати (brekhaty),መዋሸት (ma-waa-sha-te),kusema uwongo,лъжа,lagati,mensogi,Kłamać,a minți,1050,520
40,to love,amar,aimer,喜歡,lieben,愛す (Aisu),amare,houden van,любить (ljubit'),amar,사랑하다,αγαπώ,للمَحَبَّة,לאהוב,รัก,amare,காதலித்தல்,प्यार करना,umibig,att älska,å elske,sevmek,rakastaa,عشق ورزیدن,at elske,mencintai,milovat,szeretni,кахаць,любити (ljubyty),መውደድ (ma-we-da-de),kupenda,обичам,voliti,ami,Kochać,a iubi,1050,440
41,to shake hands,estrechar la mano,serrer la main,握手,die Hände schütteln,握手する (AkushuSuru),stringersi la mano,handen schudden,пожимать руку (pozhimat' ruku),apertar as mãos,악수하다,δίνω χειραψία,للتَصَافُح,ללחוץ יד,จับมือทักทาย,,கை குலுக்குதல்,हाथ मिलाना,makipagkamay,att skaka hand,å ta hverandre i hånden,el sıkışma,kätellä,دست دادن,at give hånd,berjabat tangan,potřást si rukama,kezet fogni,паціскаць руку,потискувати руку (potyskuvaty ruku),መጨበጥ (ma-cha-ba-the),kusalimiana,ръкостискане,rukovati se,premi la manon,Uścisnąć (komuś) rękę,a strânge mâna,1050,480
42,to understand,entender,comprendre,理解,verstehen / begreifen,分かる (WakaRu),capire,begrijpen,понимать (ponimat'),entender,이해하다,καταλαβαίνω,للفَهْم,להבין,เข้าใจ,scire,புரிந்துகொள்ளுதல்,समझना,unawain,att förstå,å forstå,anlamak,ymmärtää,متوجه شدن,at forstå,mengerti,rozumět,megérteni,разумець,розуміти (rozumіty),መረዳት (ma-ra-daa-te),elewa,разбирам,razumjeti,kompreni,Rozumieć,a înțelege,1050,330
43,widowed,viudo,veuf,寡婦,verwitwet,配偶者を亡くした (HaiguushaWoNakuShita),vedova,weduwe,вдовец (vdovets),viúvo,과부의,χήρος,مُتَرَمّل,אלמן,เป็นหม้าย,viduus,விதவை,विधवा,biyuda,som blev änkling,ble enke,dul,leski,بیوه,at være enke,menjanda,ovdovělý,megözvegyült,удавец,удівець (udіvets'),ድረ ገብ (de-ra ga-be),mfiwa,овдовял,obudovljen,vidvo,Owdowiały,văduvit,1050,470
0,athletic,atlético,sportif,運動形,athletisch,スポーツマン (Supo^tsuman),atletico,atletisch,спортивный (sportivnyj),atlético,발랄한,αθλητικός,رياضي,אתלטי,ในด้านกีฬา,athleticus,கட்டுடல் கொண்டவர்,पुष्टकाय / बलिष्ठ,atletiko,atletisk,atletisk,sportif,urheilullinen,ورزشی,atletisk,atletik,atletický,kisportolt,спартыўны,спортивний (sportyvnyj),ስፖርተኛ (se-po-re-ta-nyaa),mwanaspoti,атлетичен,atletičan,atleta,Wysportowany,atletic,1055,530
1,bald,calvo,chauve,禿頭的,kahl,はげ (Hage),calvo,kaal,лысый (lysyj),calvo,대머리,φαλακρός,أصلع,קירח,หัวล้าน,calvus,வழுக்கை உள்ளவர்,गंजा,panot,flintskallig,skallet,kel,kalju,طاس,skaldet,botak,strohý,kopasz,лысы,лисий (lysyj),መላጣ (ma-laa-thaa),kipara,плешив,ćelav,kalva,Łysy,chel,1055,310
2,big,grande,grand,大,groß,大きい (OokiI),grande,groot,большой (bol'shoj),grande,큰,μεγάλος,كبير,גדול,ใหญ่,magnus,பெரியவர்,बड़ा,malaki,stor,stor,büyük,iso,گنده,stor,besar,velký,nagy,вялікі,великий (velykyj),ትልቅ (te-le-qe),kubwa,голям,velik,granda,Duży,mare,1055,120
3,blonde,rubio,,金發的,blond,金髪 (Kinpatsu),biondo,blond,блондин (blondin),louro,금발의,ξανθός,الأشقر,בלונדיני,สีบลอนด์,flavus,இளம் பொன்னிறமான,सुनहरा भूरा,ginintuang buhok,blond,blond,sarışın,vaaleaverikkö,بور,blond,pirang,blonďatý,szőke,бландын,блондин (blondyn),ወርቅማ ጸጉር ያላት (wa-re-qe-maa tsa-gu-re yaa-laa-te),uzungu,русокос,plavokos,blonda,Blond,blond,1055,350
4,boring,aburrido,ennuyeux,悶,langweilig,退屈な (TaikutsuNa),noioso,saai,скучный (skuchnyj),tédio,지루한,βαρετός,ممل,משעמם,น่าเบื่อ,insulsus,சலிப்புத் தட்டுகிறவர்,ऊबाने वाला,nakakabagot,tråkig,kjedelig,sıkıcı,tylsä,خسته‌کننده,kedelig,membosankan,nudný,unalmas,сумны,нудний (nudnyj),ደባሪ (da-baa-ri),kulivu,скучен,dosadan,"enua, enuiga",Nudny,plictisitor,1055,340
5,calm,calmo,calme,冷靜,gelassen,穏やかな (OdayaKana),calmo,kalm,спокойный (spokojnyj),calmo,얌전한,ήρεμος,الهدوء,רגוע,สงบเงียบ,aequanimus,அமைதியானவர்,शान्त,kalmado,lugn,rolig,sakin,tyyni,ساکت,rolig,tenang,tichý,nyugodt,спакойны,спокійний (spokіjnyj),የተረጋጋ (ya-ta-ra-gaa-gaa),mtulivu,спокоен,smiren,kvieta,Cichy,calm,1055,290
6,careful,cuidadoso,,謹慎的,vorsichtig,慎重 (Shinchou),prudente,voorzichtig,осторожный (ostorozhnyj),cuidadoso,조심하는,προσεκτικός,حذر,זהיר,ระมัดระวัง,diligens,ஜாக்கிரதையானவர்,सावधान,maingat,försiktig,forsiktig,dikkatli,varovainen,با دقت,forsigtig,berhati-hati,pečlivý,elővigyázatos,асцярожны,обережний (oberezhnyj),ጥንቁቅ (the-ne-qu-qe),chunga,внимателен,pažljiv,singarda,Ostrożny,prudent,1055,380
7,charming,encantador,charmant,迷人的,anmutig / bezaubernd / charmant,魅力的な (MiryokutekiNa),affascinante,charmant,очаровательный (ocharovatel'nyj),encantador,매력적인,γοητευτικός,السِحْر,מקסים,มีสเน่ห์,dulcis,இதமானவர்,मनोहर,kahanga-hanga,charmig,sjarmerende,büyüleyici,viehättävä,جذاب,charmerende,sangat menarik,okouzlující,bájos,чароўны,чарівний (charіvnyj),የደስ ደስ ያለው (ya-da-se da-se yaa-la-we),maridhia,очарователен,šarmantan,ĉarma,Czarujący,fermecător,1055,260
8,clever,inteligente,,聰明的,klug,賢明 (Kenmei),ingegnoso,slim,умный (umnyj),esperto,영리한,έξυπνος,ذكي,נבון,ฉลาด,facetus,அறிவுசூழ்ச்சி கொண்டவர்,चतुर,tuso,smart,lur,zeki,fiksu,باهوش,kløgtig,pandai,chytrý,okos,разумны,розумний (rozumnyj),ብልጥ (be-le-the),mwerevu,умен,pametan,sprita,Mądry,deștept,1055,410
9,dear,querido,cher,可愛的,teuer,親愛なる (Shin'aiNaru),caro,schat,дорогой (dorogoj),querido,친애하는,αγαπητός,العزيز,יקר,ที่รัก,amicus,அன்புக்குரியவர்,प्रिय,mahal,kära,kjære,pahallı,rakas,عزیز,kære,sayang,drahý,kedves,дарагі,дорогий (dorohyj),ውድ (we-de),mwenza,скъп,drag,kara,Drogi,drag,1055,250
10,discrete,discreto,discret,分開的,diskret,慎重な (ShinchouNa),discreto,discreet,благоразумный (blagorazumnyj),discreto,추상적인,διακριτικός,متحفظ,מופרד,ที่แยกออกจากกัน,prudens,தெளிவானவர்,असतत / भिन्न,tahimik,diskret,diskret,sağduyulu,tahdikas,مجزا,diskret,berlainan,diskrétní,diszkrét,разважлівы,розсудливий (rozsudlyvyj),በንግግር ጠንቃቃ (ba-ne-ge-ge-re tha-ne-qaa-qaa),kujitenga,благоразумен,diskretan,diskreta,Dyskretny,discret,1055,330
11,divorced,divorciado,divorcé,離婚,geschieden,離婚した (RikonShita),divorziato,gescheiden,разведенный (razvedennyj),divorciado,이혼한,διαζευγμένος,مطلّق,גרוש,หย่า,caeleps,விவாகரத்தானவர்,तलाकशुदा,diborsyado,skild,skilt,dul,eronnut,مطلقه,skilt,bercerai,rozvedený,elvált,разведзены,розлучений (rozluchenyj),የተፋታ (ya-ta-faa-taa),talikiwa,разведен,razveden,eksedziĝinta,Rozwiedziony,divorțat,1055,210
12,engaged,comprometido,fiancé,訂婚,verlobt,婚約した (KonyakuShita),fidanzato,verloofd,помолвленный (pomolvlennyj),noivo,약혼한,αραβωνιασμένος,مخطوب,מאורס,หมั้นแล้ว,desponsatus,நிச்சயதார்த்தம் ஆனவர்,सगाई में वचनबद्ध,okupado,förlovad,forlovet,nişanlı,kihloissa,نامزد کرده,forlovet,bertunangan,zasnoubený,eljegyzett,заручаны,заручений (zaruchenyj),የታጨ (ya-taa-cha),chumbishwa,сгоден,zaručen,fianĉigita,Zaręczony,logodit,1055,220
13,fat,gordo,gros,肥胖的,fett / dick,脂肪 (Shibou),grasso,dik,жирный (zhirnyj),gordo,뚱뚱한,χοντρός,سمين,שמן,อ้วน,corporosus,குண்டானவர்,मोटा,mataba,tjock,tykk,şişman,lihava,چاق,fed,gemuk,tlustý,kövér,таўсты,жирний (zhyrnyj),ወፍራም (wa-fe-raa-me),nene,дебел,debeo,dika,Gruby,gras,1055,130
